date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:36	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:26:36%20GMT	https://ronabooking.com/ImageS/ICONS/instagram.svg	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/ImageS/ICONS/instagram.76.delayed	(from https://ronabooking.com/assets/CSS/ronabooking.css)
14:26:37	8435/8435	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Apr%202021%2012:26:36%20GMT	https://ronabooking.com/en/ImageS/ICONS/instagram.svg	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/en/ImageS/ICONS/instagram.svg	(from https://ronabooking.com/assets/CSS/ronabooking.css)
14:26:37	2221/2221	---M--	200	added ('OK')	image/png	etag:%228ad-5bf846f64b15b%22	https://ronabooking.com/assets/6fcce1fa/authchoice.png	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/6fcce1fa/authchoice.png	(from https://ronabooking.com/assets/6fcce1fa/authchoice.css)
14:26:38	14106/14106	---M-Z	200	added ('OK')	text/css	etag:W/%22371a-BHwra6tEHm/m0+qAT9uCUksxKCk%22	https://unpkg.com/leaflet@1.4.0/dist/leaflet.css	C:/projects/Rona%20Booking/Rona%20Booking/unpkg.com/leaflet@1.4.0/dist/leaflet.css	(from https://ronabooking.com/en/site/rent-my-place)
14:26:38	141053/141053	---M-Z	200	added ('OK')	application/javascript	etag:W/%22226fd-wOU+038AjrppCU8dK3Iv1sYlOrM%22	https://unpkg.com/leaflet@1.4.0/dist/leaflet.js	C:/projects/Rona%20Booking/Rona%20Booking/unpkg.com/leaflet@1.4.0/dist/leaflet.js	(from https://ronabooking.com/en/site/rent-my-place)
14:26:38	160984/160984	---M-Z	200	added ('OK')	text/css	etag:%22274d8-5b4da79b582b3-gzip%22	https://ronabooking.com/assets/SCSS/main.css	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/SCSS/main.css	(from https://ronabooking.com/en/site/rent-my-place)
14:26:39	729803/729803	---MCZ	200	added ('OK')	application/javascript	etag:%22d812361f856d642e3c2b257a7f26cc43%22	https://api.tiles.mapbox.com/mapbox-gl-js/v1.5.0/mapbox-gl.js	C:/projects/Rona%20Booking/Rona%20Booking/api.tiles.mapbox.com/mapbox-gl-js/v1.5.0/mapbox-gl.js	(from https://ronabooking.com/en/site/rent-my-place)
14:26:39	33044/33044	---MCZ	200	added ('OK')	text/css	etag:%221d440fceafe225711754ced27a6c889e%22	https://api.tiles.mapbox.com/mapbox-gl-js/v1.5.0/mapbox-gl.css	C:/projects/Rona%20Booking/Rona%20Booking/api.tiles.mapbox.com/mapbox-gl-js/v1.5.0/mapbox-gl.css	(from https://ronabooking.com/en/site/rent-my-place)
14:26:39	51/51	---MCZ	302	error ('Found')	text/plain	date:Sun,%2011%20Apr%202021%2012:26:39%20GMT	https://npmcdn.com/@turf/turf/turf.min.js	C:/projects/Rona%20Booking/Rona%20Booking/npmcdn.com/@turf/turf/turf.min.7e.delayed	(from https://ronabooking.com/en/site/rent-my-place)
14:26:40	604423/604423	---M-Z	200	added ('OK')	application/javascript	etag:W/%2293907-tZhLhe0DNPtL8C/QiMZ11EOOOvk%22	https://npmcdn.com/@turf/turf@6.3.0/turf.min.js	C:/projects/Rona%20Booking/Rona%20Booking/npmcdn.com/@turf/turf@6.3.0/turf.min.js	(from https://ronabooking.com/en/site/rent-my-place)
14:26:40	65/65	---M--	200	added ('OK')	text/css	etag:%2241-59dd5c4919cb6%22	https://ronabooking.com/assets/SCSS/flatpickr_custome.css	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/SCSS/flatpickr_custome.css	(from https://ronabooking.com/en/site/rent-my-place)
14:26:41	469/469	---M-Z	200	added ('OK')	text/css	etag:%221d5-5b3ad9d84e8d8-gzip%22	https://ronabooking.com/assets/CSS/map.css	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/CSS/map.css	(from https://ronabooking.com/en/site/rent-my-place)
14:26:41	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Apr%202021%2012:26:41%20GMT	https://ronabooking.com/assets/a0137d7c/ui/i18n/datepicker-.js	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/a0137d7c/ui/i18n/datepicker-.js	(from https://ronabooking.com/en/site/rent-my-place)
14:26:41	8435/8435	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Apr%202021%2012:26:41%20GMT	https://ronabooking.com/en/assets/a0137d7c/ui/i18n/datepicker-.js	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/en/assets/a0137d7c/ui/i18n/datepicker-.js	(from https://ronabooking.com/en/site/rent-my-place)
14:26:41	3856/3856	---M-Z	200	added ('OK')	application/javascript	etag:%22f10-5a3a2dca0f268-gzip%22	https://ronabooking.com/assets/JS/availability.js	C:/projects/Rona%20Booking/Rona%20Booking/ronabooking.com/assets/JS/availability.js	(from https://ronabooking.com/en/site/rent-my-place)
